iri,superprop,label,description,seeAlso,definedBy,domain,range,propertyType,inverse
proc-spo:indirectActivityPartOf,lis:activityPartOf,,,,,,,owl:TransitiveProperty,proc-spo:hasIndirectActivityPart
proc-spo:directActivityPartOf,proc-spo:indirectActivityPartOf,,,,,,,owl:IrreflexiveProperty,proc-spo:hasDirectActivityPart
proc-spo:indirectlyAfter,lis:after,,,,,,,,proc-spo:indirectlyBefore
proc-spo:directlyAfter,proc-spo:indirectlyAfter,,,,,,,,proc-spo:directlyBefore
proc-spo:indirectlyBefore,lis:before,,,,,,,owl:TransitiveProperty,proc-spo:indirectlyAfter
proc-spo:directlyBefore,proc-spo:indirectlyBefore,,,,,,,"owl:IrreflexiveProperty,owl:FunctionalProperty",proc-spo:directlyAfter
proc-spo:hasIndirectActivityPart,lis:hasActivityPart,,,,,,,owl:TransitiveProperty,proc-spo:indirectActivityPartOf
proc-spo:hasDirectActivityPart,proc-spo:hasIndirectActivityPart,,,,,,,,proc-spo:directActivityPartOf
proc-spo:hasRequirement,lis:hasParticipant,,,,,,,,proc-spo:requirementOf
proc-spo:requirementOf,lis:participantIn,,,,,,,,proc-spo:hasRequirement
proc-spo:reasoningSupport,,,,,,,,,
proc-spo:locallyEquivalentTo,proc-spo:reasoningSupport,,,,,proc-spo:MaintenanceTask,proc-spo:MaintenanceTask,owl:SymmetricProperty,
proc-spo:hasPrimaryParticipant,lis:hasParticipant,,,,,,,,
